lncRNA,corr_with_DDR,pct_cells
SPINT1-AS1,0.2279723062824229,15.106770104371284
CRNDE,0.2138831810988758,19.86243851722022
LINC01133,0.1939183770193689,4.754668692766377
LINC00221,0.19202356550267047,2.2113808133722648
LINC00665,0.17917942098119097,11.275842764024627
NORAD,0.14607349828459418,32.092014236010925
WAC-AS1,0.12820041409153915,13.077338345261898
DLEU2,0.12538437648630069,6.188267285160879
SNHG10,0.11931405905593255,6.930059583317115
LINC00393,0.11861141932620815,1.013716159475366
TP53TG1,0.11733983896072335,20.69120646219642
ATP2A1-AS1,0.1169503672322267,1.4855840364698483
SNHG32,0.11632371910779438,30.584436357819566
DSCR8,0.11626881370099665,1.5745591234455003
LINC02303,0.11330199667762728,1.6835286119886987
SNHG30,0.11110920298438692,9.89223017555
APTR,0.11053415493608923,7.356940056784358
ZFAS1,0.11041583707888361,64.33098732348765
FGD5-AS1,0.10835723468158365,18.177910185151593
CASC15,0.10759108397045095,5.264525932739317
LINC02802,0.10397025625722033,9.319390570639625
PPP1R14B-AS1,0.1019094018574892,3.1081297236773007
DNAJC3-DT,0.10016934332296011,5.058583596593384
MCF2L-AS1,0.09996709888830577,1.8974687087615836
DGUOK-AS1,0.09753692632338859,2.2253768944695564
PRRT3-AS1,0.09604935646223382,2.53329067860997
LINC00667,0.09423010805846434,14.800855760387307
CASC8,0.08594111406142765,1.9074659095453632
SERTAD4-AS1,0.08424831290525474,5.509457351942004
FAM111A-DT,0.08408764181659664,3.9678889910826443
TMPO-AS1,0.08393176436349951,1.7205182548886835
PCAT6,0.0828625525737208,6.626144679490318
MAPKAPK5-AS1,0.08235167857810392,15.242732035030828
TMEM105,0.08022377215155757,1.3526212660455557
MELTF-AS1,0.07399799711178763,1.4795857159995793
LINC00847,0.07252832335071359,6.4741872275769206
LINC02532,0.07221800825553486,1.3336265845563708
NUTM2A-AS1,0.07214910345394333,15.786579757669008
TDRKH-AS1,0.0702796012119925,2.1673931299236346
FOXD3-AS1,0.06849219621253427,1.701523573399502
LINC01426,0.06773385211389385,1.4635901947455292
DDX11-AS1,0.06773305366797942,1.0277122405726602
PIK3CD-AS2,0.06624915599071499,3.1161274843043247
MIR193BHG,0.06514815976630019,1.26964449954017
PART1,0.06460562078026978,1.8464829847643072
LINC00339,0.064264926655281,6.090294717479804
HCG18,0.0637810463069011,15.287719438557884
DSCAM-AS1,0.06314218921067125,1.8024953013156768
MRPS30-DT,0.06304616540109799,4.4187627464312635
SNHG21,0.06137635924571279,4.331787099612351
LINC01547,0.06079169103165502,1.2936377814212454
FLVCR1-DT,0.05982096036368684,2.3773343463830074
FIRRE,0.058625522339245645,1.4515935538049913
NRSN2-AS1,0.0580669339202856,2.6402607269964125
ZNF337-AS1,0.057576131753843955,1.8024953013156768
ST20-AS1,0.0571634893392172,1.7305154556724631
LOXL1-AS1,0.056268120048782025,2.830207541888226
KTN1-AS1,0.055942831623374975,2.0964130043587987
MIR762HG,0.055587538440728466,2.835206142280116
RAB11B-AS1,0.055309635766311344,5.033590594633926
IPO9-AS1,0.05522802481129848,1.191666333426675
LINC02611,0.05490516469622198,2.2623665373695414
HOTAIR,0.05486421803734278,1.1706722117807342
SBF2-AS1,0.05299977922118588,2.5522853600991513
MIR210HG,0.051696187602300686,1.912464509937253
LINC00511,0.050817206000691555,1.3356260247131273
PSMG3-AS1,0.04984026675699721,2.786219858439596
LINC01833,0.0498262530742053,1.1676730515455997
SCAMP1-AS1,0.049624633578893,4.4447554684691
PSMA3-AS1,0.04902817484030921,17.59007477906474
BAIAP2-DT,0.04870456531862641,2.766225456872036
LINC01301,0.04764805717633738,1.047706642140223
ZNF790-AS1,0.04710711456864289,2.181389211020926
LINC00472,0.046911955557688546,3.9968808733556154
LINC00504,0.046765195725553745,1.826488583196748
KLRK1-AS1,0.04657243939723224,1.1946654936618095
HOXB-AS3,0.04644135395308145,1.0896948854321047
MCM3AP-AS1,0.04593889862471293,1.6845283320670768
LINC01515,0.045118191387953456,1.2086615747591034
ZEB1-AS1,0.04501850494397012,2.7362338545206972
SNHG12,0.045002363854447724,27.97316751310085
LINC01535,0.04465310877663294,1.1376814491942555
PRKAG2-AS1,0.044409291820494155,6.595153357060612
SCGB1B2P,0.04400638012113801,4.293797736633975
ELOA-AS1,0.04351167158055253,3.3020754188826875
COLCA1,0.04350135408468074,1.2566481385212542
LINC01503,0.043423394830380734,2.803215099772021
IRF2-DT,0.04337165567575149,4.874635102171775
LINC01023,0.04317025316490016,2.3803335066181415
LINC02482,0.04267865358778314,4.039868836725883
LINC01819,0.04257508001160069,1.1286839684888523
ZBTB11-AS1,0.04235264362036473,3.0081577158395043
LPP-AS2,0.04225461005743238,1.4745871156076886
DUBR,0.042054236647963386,2.1134082456912244
GATA3-AS1,0.041957804775441525,4.6167073219501695
MYLK-AS1,0.040819785588987516,1.2956372215780017
CHROMR,0.0402097435200403,2.8142120206341787
ZSCAN16-AS1,0.03947844833771803,8.408645579237614
PRECSIT,0.03931033500551955,1.5955532450914376
FBXL19-AS1,0.039169742081876256,1.306634142440161
CAPN10-DT,0.038659741016704816,2.6712520494261294
B4GALT1-AS1,0.03766903297400151,1.3296277042428584
LINC00649,0.03736309833494879,4.021873875315073
LINC01139,0.03700116422858775,1.3456232254969085
FAM215B,0.03522121731429043,4.344783460631269
TRAM2-AS1,0.03456663320055141,1.6525372895589818
CKMT2-AS1,0.03411254796172626,2.53329067860997
MIR181A1HG,0.03342603197258827,4.561722717639363
MIR99AHG,0.03313006523210807,4.878633982485288
SLC25A21-AS1,0.03311395687100989,1.3206302235374552
C1RL-AS1,0.033092184638841324,2.354340784580314
VPS13B-DT,0.03227700429122905,1.734514335985975
IQCH-AS1,0.03225918019339097,1.6095493261887293
ZNF236-DT,0.03221394420304865,1.4026072699644625
RASSF8-AS1,0.03212176760028087,2.7012436517774683
LOH12CR2,0.031156810351451673,1.6255448474427767
LINC01703,0.030804601099579443,1.2956372215780017
TSPOAP1-AS1,0.030270906090120474,1.9474547126804818
TTN-AS1,0.030081766182073415,5.232534890231211
OSER1-DT,0.02977695043530221,4.60471068100963
PTOV1-AS1,0.029712250192920772,1.0437077618267103
USP3-AS1,0.029606871102717043,1.284640300715842
MIR29B2CHG,0.029354359330077934,6.209261406806823
GMDS-DT,0.029052733773625355,5.352501299636608
MIR34AHG,0.028975832216597514,1.0796976846483235
DNAJC27-AS1,0.028442132037361654,1.4186027912185128
LIPE-AS1,0.02807400411472008,2.8142120206341787
SREBF2-AS1,0.02763758577557944,2.4263206302235276
HCG11,0.02720769390659739,1.8244891430399919
LINC01117,0.026538921422896183,1.9494541528372378
LINC00539,0.026269635226816353,1.283640580637464
LINC01560,0.025857948389635878,1.4256008317671598
LINC01138,0.025359339962385378,3.829927620266437
ZNF436-AS1,0.025229538172922093,1.1576758507618183
MIR503HG,0.024877514779592814,1.2076618546807254
MMP25-AS1,0.024489423286930843,4.856640140760965
MBNL1-AS1,0.024212274434780513,2.4963010357099855
LINC00426,0.023466445127762813,2.2943575798776363
LINC01436,0.022905861035752893,2.337345543247889
PAXIP1-AS2,0.022458670673887866,3.0601431599151585
USP46-DT,0.022413141298559612,1.0467069220618448
LINC02515,0.022168392337081153,1.1386811692726337
LINC01089,0.02201143397370805,4.634702283360979
LINC02609,0.021864097892148708,2.3973287479505667
LINC02256,0.021807585088041686,9.991202463309385
ARIH2OS,0.02172536172484225,3.2320950133962056
NR2F1-AS1,0.02113722676253317,2.59727276362616
MIR4453HG,0.019821367673370664,1.1616747310753308
LINC00265,0.019661819383298668,1.0657016035510294
CCDC144NL-AS1,0.019546635955947567,1.134682288959121
CEROX1,0.019492737103467533,1.1226856480185834
MIR22HG,0.01916499124714605,13.416243451832383
LINC00910,0.01806043083541287,1.0037189586915847
BDNF-AS,0.017108712361001248,1.1356820090374993
RFX5-AS1,0.0169705698528207,1.227656256248288
LINC00987,0.016955864081464257,1.3516215459671774
SDCBP2-AS1,0.016802559491119078,1.4645899148239072
LINC02604,0.016638858794256167,1.2706442196185481
NINJ2-AS1,0.01655405555624561,1.6265445675211547
PCAT19,0.016100038493440556,2.9721677930178974
LINC01011,0.015632412679448864,1.5565641620346962
MIRLET7A1HG,0.014649068907349449,1.9794457551885767
LINC02361,0.01417358482756266,1.0367097212780634
COA6-AS1,0.014090989645229337,2.7402327348342093
TNFRSF14-AS1,0.01387483141213194,1.6075498860319732
LINC01550,0.013526307631661212,2.775222937577438
HOXB-AS1,0.013247755542380354,4.619706482185305
LINC01871,0.013223368398639355,3.627984164434018
DLGAP1-AS2,0.011717818382160716,1.3796137081617654
CARD8-AS1,0.011627021989943531,2.6642540088774838
LINC01473,0.010261862963263394,1.6165473667373749
IER3-AS1,0.008940134873933124,1.062702443315895
MZF1-AS1,0.00883633754165562,2.8591994241611873
LINC02084,0.008721418462508835,1.0297116807294164
SH3BP5-AS1,0.008656204031241616,1.105690406686155
LINC02381,0.008488797588657448,5.022593673771765
LINC01684,0.007722148682702166,1.0177150397888788
ERICH6-AS1,0.005820402515311555,1.4395969128644537
EMC1-AS1,0.005201349056389251,2.5262926380613244
LINC00954,0.0037739755619657137,1.026712520494282
MATN1-AS1,0.0035798047807619926,1.412604470748244
LINC00205,0.003458483237562119,1.0217139201023913
LRRC8C-DT,0.002951814643868169,1.6825288919103207
WAKMAR2,0.002319735586764656,3.838925100971842
MED14OS,0.0020494178737434374,1.2346542967969352
NDUFV2-AS1,-0.0004586587555192597,4.546726916463688
MEG3,-0.0015335857076952378,5.041588355260953
IL10RB-DT,-0.004361081218237424,1.4066061502779752
LINC00891,-0.005004186491577195,1.0217139201023913
TSIX,-0.006505801590301754,2.3133522613668176
LINC01094,-0.006681975707494447,2.5472867597072617
CEP250-AS1,-0.006711461336465207,1.6645339304995173
LINC00528,-0.00843860755867379,1.032710840964551
TBX2-AS1,-0.008952657805464536,2.1733914503939022
LINC02328,-0.011033825313230163,1.2366537369536914
EPHA1-AS1,-0.011794247530477258,1.6005518454833274
LINC02273,-0.01772054664571145,1.8374855040589055
LINC02384,-0.03126582153401204,1.4216019514536473
IFNG-AS1,-0.050225183856353425,1.4475946734914789
MALAT1,-0.1349272269167152,98.5324109248169
